Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 2.020000000000000e+001,-2.741903883152633e-001,-3.315588222385721e-001,-3.490633464983132e-001
 2.021000000000000e+001,-2.751889095618810e-001,-3.317455235969367e-001,-3.490633987510940e-001
 2.022000000000000e+001,-2.757076685180321e-001,-3.318565503733708e-001,-3.490634350184297e-001
 2.023000000000000e+001,-2.756518482004760e-001,-3.318706419709325e-001,-3.490634523760997e-001
 2.024000000000000e+001,-2.749601409416120e-001,-3.317712555851000e-001,-3.490634489096482e-001
 2.025000000000000e+001,-2.736167349722582e-001,-3.315483719731489e-001,-3.490634240085110e-001
 2.026000000000000e+001,-2.716556003942671e-001,-3.312018868184987e-001,-3.490633785008335e-001
 2.027000000000000e+001,-2.691581194220550e-001,-3.307445674646639e-001,-3.490633146664104e-001
 2.028000000000000e+001,-2.662460812541648e-001,-3.302011541263559e-001,-3.490632360992928e-001
 2.029000000000000e+001,-2.630713613327363e-001,-3.296052629533595e-001,-3.490631474591530e-001
 2.030000000000000e+001,-2.598041940938529e-001,-3.289970863414817e-001,-3.490630541246852e-001
 2.031000000000000e+001,-2.566207336401910e-001,-3.284217975766217e-001,-3.490629617102597e-001
 2.032000000000000e+001,-2.536884391911727e-001,-3.279277341074511e-001,-3.490628755384420e-001
 2.033000000000000e+001,-2.511491494846097e-001,-3.275629308473715e-001,-3.490628001808167e-001
 2.034000000000000e+001,-2.491029219737764e-001,-3.273692599057756e-001,-3.490627390400276e-001
 2.035000000000000e+001,-2.475965400568439e-001,-3.273761802493076e-001,-3.490626939375460e-001
 2.036000000000000e+001,-2.466190660894833e-001,-3.275964203508648e-001,-3.490626647999370e-001
 2.037000000000000e+001,-2.461046587798839e-001,-3.280249977161638e-001,-3.490626496171621e-001
 2.038000000000000e+001,-2.459424374720504e-001,-3.286422816672443e-001,-3.490626447970852e-001
 2.039000000000000e+001,-2.459942362078497e-001,-3.294190818177583e-001,-3.490626458837509e-001
 2.040000000000000e+001,-2.461194273783658e-001,-3.303213734615700e-001,-3.490626483845403e-001
 2.041000000000000e+001,-2.462077856325191e-001,-3.313154146959474e-001,-3.490626509696735e-001
 2.042000000000000e+001,-2.461732930116259e-001,-3.323654026950131e-001,-3.490626456748102e-001
 2.043000000000000e+001,-2.459923207086589e-001,-3.334363738021915e-001,-3.490626311779049e-001
 2.044000000000000e+001,-2.456900220383719e-001,-3.344968190542081e-001,-3.490626122988395e-001
 2.045000000000000e+001,-2.452926319852535e-001,-3.355126497053496e-001,-3.490625875569702e-001
 2.046000000000000e+001,-2.448357420149596e-001,-3.364560144261020e-001,-3.490625587476617e-001
 2.047000000000000e+001,-2.443516674662753e-001,-3.373057604121652e-001,-3.490625281190470e-001
 2.048000000000000e+001,-2.438700095567082e-001,-3.380465410193199e-001,-3.490624981194616e-001
 2.049000000000000e+001,-2.434225159545474e-001,-3.386654639026341e-001,-3.490624712594000e-001
 2.050000000000000e+001,-2.430511080563922e-001,-3.391512610558354e-001,-3.490624501252329e-001
 2.051000000000000e+001,-2.428167736152771e-001,-3.394999245216259e-001,-3.490624375569940e-001
 2.052000000000000e+001,-2.428004856369793e-001,-3.397187406732438e-001,-3.490624364008659e-001
 2.053000000000000e+001,-2.431039658034951e-001,-3.398339605620615e-001,-3.490624497421652e-001
 2.054000000000000e+001,-2.438373377015181e-001,-3.398860609323928e-001,-3.490624803418526e-001
 2.055000000000000e+001,-2.451047304179840e-001,-3.399231959636850e-001,-3.490625304194370e-001
 2.056000000000000e+001,-2.469886584105207e-001,-3.399928906140393e-001,-3.490626013815772e-001
 2.057000000000000e+001,-2.495393218497318e-001,-3.401362436842108e-001,-3.490626936595748e-001
 2.058000000000000e+001,-2.527696024230436e-001,-3.403835619687619e-001,-3.490628066037813e-001
 2.059000000000000e+001,-2.566604094792321e-001,-3.407546903428500e-001,-3.490629388112975e-001
 2.060000000000000e+001,-2.611579361711537e-001,-3.412560950618422e-001,-3.490630877258626e-001
 2.061000000000000e+001,-2.661828259272431e-001,-3.418886437694881e-001,-3.490632501155106e-001
 2.062000000000000e+001,-2.716342312733264e-001,-3.426514747571563e-001,-3.490634222992454e-001
 2.063000000000000e+001,-2.773954433478779e-001,-3.435422595494873e-001,-3.490636004781259e-001
 2.064000000000000e+001,-2.833418358288742e-001,-3.445559215145690e-001,-3.490637809765510e-001
 2.065000000000000e+001,-2.893506058419804e-001,-3.456842575854857e-001,-3.490639603472608e-001
 2.066000000000000e+001,-2.953082210950063e-001,-3.469153626664163e-001,-3.490641353937848e-001
 2.067000000000000e+001,-3.011137229134202e-001,-3.482329928536514e-001,-3.490643031711229e-001
 2.068000000000000e+001,-3.066787471449758e-001,-3.496162285193187e-001,-3.490644610183578e-001
 2.069000000000000e+001,-3.119241545123551e-001,-3.510383529021699e-001,-3.490646066420189e-001
 2.070000000000000e+001,-3.167744683400811e-001,-3.524657317695716e-001,-3.490647381863674e-001
 2.071000000000000e+001,-3.211540592512222e-001,-3.538589603527165e-001,-3.490648542352179e-001
 2.072000000000000e+001,-3.249868025843053e-001,-3.551760030576137e-001,-3.490649537387142e-001
 2.073000000000000e+001,-3.281972263836608e-001,-3.563748188722375e-001,-3.490650358433579e-001
 2.074000000000000e+001,-3.307122201899732e-001,-3.574147682757134e-001,-3.490650996528599e-001
 2.075000000000000e+001,-3.324642318467684e-001,-3.582582653210895e-001,-3.490651440738549e-001
 2.076000000000000e+001,-3.333962728293202e-001,-3.588731416530888e-001,-3.490651678490709e-001
 2.077000000000000e+001,-3.334620036223826e-001,-3.592390302185273e-001,-3.490651693245673e-001
 2.078000000000000e+001,-3.293686870014492e-001,-3.700349047601970e-001,-3.490646496753302e-001
 2.079000000000000e+001,-3.252841287704932e-001,-3.781576796805715e-001,-3.490642689857892e-001
 2.080000000000000e+001,-3.227785213946506e-001,-3.776267864586962e-001,-3.490642047721544e-001
 2.081000000000000e+001,-3.195058512682781e-001,-3.767943205031452e-001,-3.490641178233059e-001
 2.082000000000000e+001,-3.155800551047346e-001,-3.756787272637097e-001,-3.490640099308078e-001
 2.083000000000000e+001,-3.111514911795610e-001,-3.743108253611396e-001,-3.490638838519450e-001
 2.084000000000000e+001,-3.064000287855267e-001,-3.727354737706592e-001,-3.490637433066499e-001
 2.085000000000000e+001,-3.015284598327214e-001,-3.710098584559693e-001,-3.490635930826595e-001
 2.086000000000000e+001,-2.967508659661173e-001,-3.692026464306535e-001,-3.490634389418739e-001
 2.087000000000000e+001,-2.922714091282680e-001,-3.673917544903087e-001,-3.490632871857721e-001
 2.088000000000000e+001,-2.882546718057482e-001,-3.656563769665076e-001,-3.490631437885674e-001
 2.089000000000000e+001,-2.847978239355825e-001,-3.640624522619405e-001,-3.490630132917270e-001
 2.090000000000000e+001,-2.819218678889191e-001,-3.626496425909953e-001,-3.490628980808613e-001
 2.091000000000000e+001,-2.795920682664725e-001,-3.614303724895400e-001,-3.490627897804720e-001
 2.092000000000000e+001,-2.777321761224468e-001,-3.603954446921120e-001,-3.490627040519176e-001
 2.093000000000000e+001,-2.762697746973743e-001,-3.595295786248127e-001,-3.490626310770836e-001
 2.094000000000000e+001,-2.751293614595642e-001,-3.588148950652357e-001,-3.490625687310376e-001
 2.095000000000000e+001,-2.742451317570734e-001,-3.582376653808861e-001,-3.490625260900784e-001
 2.096000000000000e+001,-2.735544551454205e-001,-3.577855686205584e-001,-3.490624798189762e-001
 2.097000000000000e+001,-2.730115775853985e-001,-3.574520280070646e-001,-3.490624393343974e-001
 2.098000000000000e+001,-2.725797285223921e-001,-3.572291776039289e-001,-3.490624037565976e-001
 2.099000000000000e+001,-2.722307086333058e-001,-3.571047094851920e-001,-3.490623722797675e-001
 2.100000000000000e+001,-2.719444167139519e-001,-3.570601265001698e-001,-3.490623440280360e-001
 2.101000000000000e+001,-2.717101659180849e-001,-3.570724983059166e-001,-3.490623180290562e-001
 2.102000000000000e+001,-2.715274902643795e-001,-3.571185834460695e-001,-3.490622933097225e-001
 2.103000000000000e+001,-2.714035901552030e-001,-3.571790422567769e-001,-3.490622690546648e-001
 2.104000000000000e+001,-2.713471856035629e-001,-3.572408892554071e-001,-3.490622446953055e-001
